 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.000806894 0.00395089 0.0576943 0.00765466 4.862e-05 0.0701554 
k=2 0.000806894 0.00395089 0.0576943 0.00765466 4.6731e-05 0.0701535 
k=3 0.000806894 0.00395089 0.0576943 0.00765466 5.1406e-05 0.0701582 
k=4 0.000806894 0.00395089 0.0576943 0.00765466 4.899e-06 0.0701117 
k=5 0.000806894 0.00395089 0.0576943 0.00765466 5.1158e-05 0.0701579 
k=6 0.000806894 0.00395089 0.0576943 0.00765466 4.857e-06 0.0701116 
k=7 0.000806894 0.00395089 0.0576943 0.00765466 4.902e-06 0.0701117 
k=8 0.000806894 0.00395089 0.0576943 0.00765466 4.715e-06 0.0701115 
k=9 0.000806894 0.00395089 0.0576943 0.00765466 5.6146e-05 0.0701629 
k=10 0.000806894 0.00395089 0.0576943 0.00765466 5.086e-06 0.0701118 
k=11 0.000806894 0.00395089 0.0576943 0.00765466 4.803e-06 0.0701116 
k=12 0.000806894 0.00395089 0.0576943 0.00765466 4.755e-06 0.0701115 
k=13 0.000806894 0.00395089 0.0576943 0.00765466 4.753e-06 0.0701115 
k=14 0.000806894 0.00395089 0.0576943 0.00765466 4.698e-06 0.0701115 
k=15 0.000806894 0.00395089 0.0576943 0.00765466 4.825e-06 0.0701116 
k=16 0.000806894 0.00395089 0.0576943 0.00765466 4.715e-06 0.0701115 
k=17 0.000806894 0.00395089 0.0576943 0.00765466 6.2418e-05 0.0701692 
k=18 0.000806894 0.00395089 0.0576943 0.00765466 4.933e-06 0.0701117 
k=19 0.000806894 0.00395089 0.0576943 0.00765466 4.827e-06 0.0701116 
k=20 0.000806894 0.00395089 0.0576943 0.00765466 4.733e-06 0.0701115 
k=21 0.000806894 0.00395089 0.0576943 0.00765466 4.772e-06 0.0701115 
k=22 0.000806894 0.00395089 0.0576943 0.00765466 4.704e-06 0.0701115 
k=23 0.000806894 0.00395089 0.0576943 0.00765466 4.769e-06 0.0701115 
k=24 0.000806894 0.00395089 0.0576943 0.00765466 4.702e-06 0.0701115 
k=25 0.000806894 0.00395089 0.0576943 0.00765466 4.819e-06 0.0701116 
k=26 0.000806894 0.00395089 0.0576943 0.00765466 4.76e-06 0.0701115 
k=27 0.000806894 0.00395089 0.0576943 0.00765466 4.792e-06 0.0701116 
k=28 0.000806894 0.00395089 0.0576943 0.00765466 4.719e-06 0.0701115 
k=29 0.000806894 0.00395089 0.0576943 0.00765466 4.856e-06 0.0701116 
k=30 0.000806894 0.00395089 0.0576943 0.00765466 4.718e-06 0.0701115 
k=31 0.000806894 0.00395089 0.0576943 0.00765466 4.778e-06 0.0701115 
k=32 0.000806894 0.00395089 0.0576943 0.00765466 4.716e-06 0.0701115 
k=33 0.000806894 0.00395089 0.0576943 0.00765466 7.2277e-05 0.070179 
k=34 0.000806894 0.00395089 0.0576943 0.00765466 5.007e-06 0.0701118 
k=35 0.000806894 0.00395089 0.0576943 0.00765466 4.834e-06 0.0701116 
k=36 0.000806894 0.00395089 0.0576943 0.00765466 4.71e-06 0.0701115 
k=37 0.000806894 0.00395089 0.0576943 0.00765466 4.863e-06 0.0701116 
k=38 0.000806894 0.00395089 0.0576943 0.00765466 4.752e-06 0.0701115 
k=39 0.000806894 0.00395089 0.0576943 0.00765466 4.797e-06 0.0701116 
k=40 0.000806894 0.00395089 0.0576943 0.00765466 4.78e-06 0.0701115 
k=41 0.000806894 0.00395089 0.0576943 0.00765466 4.896e-06 0.0701117 
k=42 0.000806894 0.00395089 0.0576943 0.00765466 4.743e-06 0.0701115 
k=43 0.000806894 0.00395089 0.0576943 0.00765466 4.874e-06 0.0701116 
k=44 0.000806894 0.00395089 0.0576943 0.00765466 4.757e-06 0.0701115 
k=45 0.000806894 0.00395089 0.0576943 0.00765466 4.782e-06 0.0701115 
k=46 0.000806894 0.00395089 0.0576943 0.00765466 4.726e-06 0.0701115 
k=47 0.000806894 0.00395089 0.0576943 0.00765466 4.825e-06 0.0701116 
k=48 0.000806894 0.00395089 0.0576943 0.00765466 4.734e-06 0.0701115 
k=49 0.000806894 0.00395089 0.0576943 0.00765466 4.793e-06 0.0701116 
k=50 0.000806894 0.00395089 0.0576943 0.00765466 4.719e-06 0.0701115 
k=51 0.000806894 0.00395089 0.0576943 0.00765466 4.777e-06 0.0701115 
k=52 0.000806894 0.00395089 0.0576943 0.00765466 4.709e-06 0.0701115 
k=53 0.000806894 0.00395089 0.0576943 0.00765466 4.787e-06 0.0701115 
k=54 0.000806894 0.00395089 0.0576943 0.00765466 4.736e-06 0.0701115 
k=55 0.000806894 0.00395089 0.0576943 0.00765466 4.809e-06 0.0701116 
k=56 0.000806894 0.00395089 0.0576943 0.00765466 4.721e-06 0.0701115 
k=57 0.000806894 0.00395089 0.0576943 0.00765466 4.791e-06 0.0701116 
k=58 0.000806894 0.00395089 0.0576943 0.00765466 4.7e-06 0.0701115 
k=59 0.000806894 0.00395089 0.0576943 0.00765466 4.903e-06 0.0701117 
k=60 0.000806894 0.00395089 0.0576943 0.00765466 4.796e-06 0.0701116 
k=61 0.000806894 0.00395089 0.0576943 0.00765466 4.816e-06 0.0701116 
k=62 0.000806894 0.00395089 0.0576943 0.00765466 4.732e-06 0.0701115 
k=63 0.000806894 0.00395089 0.0576943 0.00765466 4.783e-06 0.0701115 
k=64 0.000806894 0.00395089 0.0576943 0.00765466 4.712e-06 0.0701115 
k=65 0.000806894 0.00395089 0.0576943 0.00765466 9.6779e-05 0.0702035 
k=66 0.000806894 0.00395089 0.0576943 0.00765466 5.296e-06 0.0701121 
k=67 0.000806894 0.00395089 0.0576943 0.00765466 4.81e-06 0.0701116 
k=68 0.000806894 0.00395089 0.0576943 0.00765466 4.766e-06 0.0701115 
k=69 0.000806894 0.00395089 0.0576943 0.00765466 4.826e-06 0.0701116 
k=70 0.000806894 0.00395089 0.0576943 0.00765466 4.74e-06 0.0701115 
k=71 0.000806894 0.00395089 0.0576943 0.00765466 4.789e-06 0.0701115 
k=72 0.000806894 0.00395089 0.0576943 0.00765466 4.739e-06 0.0701115 
k=73 0.000806894 0.00395089 0.0576943 0.00765466 4.819e-06 0.0701116 
k=74 0.000806894 0.00395089 0.0576943 0.00765466 4.699e-06 0.0701115 
k=75 0.000806894 0.00395089 0.0576943 0.00765466 4.806e-06 0.0701116 
k=76 0.000806894 0.00395089 0.0576943 0.00765466 4.766e-06 0.0701115 
k=77 0.000806894 0.00395089 0.0576943 0.00765466 4.811e-06 0.0701116 
k=78 0.000806894 0.00395089 0.0576943 0.00765466 4.746e-06 0.0701115 
k=79 0.000806894 0.00395089 0.0576943 0.00765466 4.832e-06 0.0701116 
k=80 0.000806894 0.00395089 0.0576943 0.00765466 4.699e-06 0.0701115 
k=81 0.000806894 0.00395089 0.0576943 0.00765466 4.781e-06 0.0701115 
k=82 0.000806894 0.00395089 0.0576943 0.00765466 4.723e-06 0.0701115 
k=83 0.000806894 0.00395089 0.0576943 0.00765466 4.808e-06 0.0701116 
k=84 0.000806894 0.00395089 0.0576943 0.00765466 4.709e-06 0.0701115 
k=85 0.000806894 0.00395089 0.0576943 0.00765466 4.81e-06 0.0701116 
k=86 0.000806894 0.00395089 0.0576943 0.00765466 4.703e-06 0.0701115 
k=87 0.000806894 0.00395089 0.0576943 0.00765466 4.828e-06 0.0701116 
k=88 0.000806894 0.00395089 0.0576943 0.00765466 4.73e-06 0.0701115 
k=89 0.000806894 0.00395089 0.0576943 0.00765466 4.749e-06 0.0701115 
k=90 0.000806894 0.00395089 0.0576943 0.00765466 4.688e-06 0.0701114 
k=91 0.000806894 0.00395089 0.0576943 0.00765466 4.776e-06 0.0701115 
k=92 0.000806894 0.00395089 0.0576943 0.00765466 4.727e-06 0.0701115 
