 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.00074637 0.00394597 0.169952 0.00765535 5.0742e-05 0.18235 
k=2 0.00074637 0.00394597 0.169952 0.00765535 4.7711e-05 0.182347 
k=3 0.00074637 0.00394597 0.169952 0.00765535 4.9593e-05 0.182349 
k=4 0.00074637 0.00394597 0.169952 0.00765535 4.922e-06 0.182304 
k=5 0.00074637 0.00394597 0.169952 0.00765535 5.3105e-05 0.182352 
k=6 0.00074637 0.00394597 0.169952 0.00765535 4.892e-06 0.182304 
k=7 0.00074637 0.00394597 0.169952 0.00765535 4.969e-06 0.182304 
k=8 0.00074637 0.00394597 0.169952 0.00765535 4.795e-06 0.182304 
k=9 0.00074637 0.00394597 0.169952 0.00765535 6.0599e-05 0.18236 
k=10 0.00074637 0.00394597 0.169952 0.00765535 4.936e-06 0.182304 
k=11 0.00074637 0.00394597 0.169952 0.00765535 5.03e-06 0.182304 
k=12 0.00074637 0.00394597 0.169952 0.00765535 4.809e-06 0.182304 
k=13 0.00074637 0.00394597 0.169952 0.00765535 4.969e-06 0.182304 
k=14 0.00074637 0.00394597 0.169952 0.00765535 4.804e-06 0.182304 
k=15 0.00074637 0.00394597 0.169952 0.00765535 5.156e-06 0.182304 
k=16 0.00074637 0.00394597 0.169952 0.00765535 4.91e-06 0.182304 
k=17 0.00074637 0.00394597 0.169952 0.00765535 6.2357e-05 0.182362 
k=18 0.00074637 0.00394597 0.169952 0.00765535 5.003e-06 0.182304 
k=19 0.00074637 0.00394597 0.169952 0.00765535 5.404e-06 0.182305 
k=20 0.00074637 0.00394597 0.169952 0.00765535 4.859e-06 0.182304 
k=21 0.00074637 0.00394597 0.169952 0.00765535 5.026e-06 0.182304 
k=22 0.00074637 0.00394597 0.169952 0.00765535 4.828e-06 0.182304 
k=23 0.00074637 0.00394597 0.169952 0.00765535 5.01e-06 0.182304 
k=24 0.00074637 0.00394597 0.169952 0.00765535 4.865e-06 0.182304 
k=25 0.00074637 0.00394597 0.169952 0.00765535 4.913e-06 0.182304 
k=26 0.00074637 0.00394597 0.169952 0.00765535 4.848e-06 0.182304 
k=27 0.00074637 0.00394597 0.169952 0.00765535 5.084e-06 0.182304 
k=28 0.00074637 0.00394597 0.169952 0.00765535 4.819e-06 0.182304 
k=29 0.00074637 0.00394597 0.169952 0.00765535 4.938e-06 0.182304 
k=30 0.00074637 0.00394597 0.169952 0.00765535 4.846e-06 0.182304 
k=31 0.00074637 0.00394597 0.169952 0.00765535 5.136e-06 0.182304 
k=32 0.00074637 0.00394597 0.169952 0.00765535 4.852e-06 0.182304 
k=33 0.00074637 0.00394597 0.169952 0.00765535 7.2322e-05 0.182372 
k=34 0.00074637 0.00394597 0.169952 0.00765535 5.149e-06 0.182304 
k=35 0.00074637 0.00394597 0.169952 0.00765535 5.298e-06 0.182305 
k=36 0.00074637 0.00394597 0.169952 0.00765535 4.862e-06 0.182304 
k=37 0.00074637 0.00394597 0.169952 0.00765535 5.211e-06 0.182305 
k=38 0.00074637 0.00394597 0.169952 0.00765535 4.806e-06 0.182304 
k=39 0.00074637 0.00394597 0.169952 0.00765535 5.146e-06 0.182304 
k=40 0.00074637 0.00394597 0.169952 0.00765535 4.83e-06 0.182304 
k=41 0.00074637 0.00394597 0.169952 0.00765535 5.035e-06 0.182304 
k=42 0.00074637 0.00394597 0.169952 0.00765535 4.867e-06 0.182304 
k=43 0.00074637 0.00394597 0.169952 0.00765535 5.029e-06 0.182304 
k=44 0.00074637 0.00394597 0.169952 0.00765535 4.848e-06 0.182304 
k=45 0.00074637 0.00394597 0.169952 0.00765535 4.968e-06 0.182304 
k=46 0.00074637 0.00394597 0.169952 0.00765535 4.841e-06 0.182304 
k=47 0.00074637 0.00394597 0.169952 0.00765535 4.986e-06 0.182304 
k=48 0.00074637 0.00394597 0.169952 0.00765535 4.888e-06 0.182304 
k=49 0.00074637 0.00394597 0.169952 0.00765535 4.884e-06 0.182304 
k=50 0.00074637 0.00394597 0.169952 0.00765535 4.868e-06 0.182304 
k=51 0.00074637 0.00394597 0.169952 0.00765535 5.029e-06 0.182304 
k=52 0.00074637 0.00394597 0.169952 0.00765535 4.856e-06 0.182304 
k=53 0.00074637 0.00394597 0.169952 0.00765535 4.922e-06 0.182304 
k=54 0.00074637 0.00394597 0.169952 0.00765535 4.835e-06 0.182304 
k=55 0.00074637 0.00394597 0.169952 0.00765535 5.371e-06 0.182305 
k=56 0.00074637 0.00394597 0.169952 0.00765535 4.847e-06 0.182304 
k=57 0.00074637 0.00394597 0.169952 0.00765535 5.061e-06 0.182304 
k=58 0.00074637 0.00394597 0.169952 0.00765535 4.862e-06 0.182304 
k=59 0.00074637 0.00394597 0.169952 0.00765535 4.984e-06 0.182304 
k=60 0.00074637 0.00394597 0.169952 0.00765535 4.892e-06 0.182304 
k=61 0.00074637 0.00394597 0.169952 0.00765535 5.195e-06 0.182305 
k=62 0.00074637 0.00394597 0.169952 0.00765535 4.865e-06 0.182304 
k=63 0.00074637 0.00394597 0.169952 0.00765535 5.219e-06 0.182305 
k=64 0.00074637 0.00394597 0.169952 0.00765535 4.83e-06 0.182304 
k=65 0.00074637 0.00394597 0.169952 0.00765535 9.1872e-05 0.182391 
k=66 0.00074637 0.00394597 0.169952 0.00765535 5.136e-06 0.182304 
k=67 0.00074637 0.00394597 0.169952 0.00765535 5.095e-06 0.182304 
k=68 0.00074637 0.00394597 0.169952 0.00765535 4.826e-06 0.182304 
k=69 0.00074637 0.00394597 0.169952 0.00765535 4.983e-06 0.182304 
k=70 0.00074637 0.00394597 0.169952 0.00765535 4.805e-06 0.182304 
k=71 0.00074637 0.00394597 0.169952 0.00765535 5.131e-06 0.182304 
k=72 0.00074637 0.00394597 0.169952 0.00765535 4.848e-06 0.182304 
k=73 0.00074637 0.00394597 0.169952 0.00765535 5.094e-06 0.182304 
k=74 0.00074637 0.00394597 0.169952 0.00765535 4.847e-06 0.182304 
k=75 0.00074637 0.00394597 0.169952 0.00765535 5.025e-06 0.182304 
k=76 0.00074637 0.00394597 0.169952 0.00765535 4.838e-06 0.182304 
