 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.000748719 0.00394944 0.27464 0.00765305 4.866e-05 0.28704 
k=2 0.000748719 0.00394944 0.27464 0.00765305 4.7832e-05 0.287039 
k=3 0.000748719 0.00394944 0.27464 0.00765305 5.1939e-05 0.287043 
k=4 0.000748719 0.00394944 0.27464 0.00765305 4.883e-06 0.286996 
k=5 0.000748719 0.00394944 0.27464 0.00765305 5.213e-05 0.287043 
k=6 0.000748719 0.00394944 0.27464 0.00765305 4.848e-06 0.286996 
k=7 0.000748719 0.00394944 0.27464 0.00765305 4.808e-06 0.286996 
k=8 0.000748719 0.00394944 0.27464 0.00765305 4.737e-06 0.286996 
k=9 0.000748719 0.00394944 0.27464 0.00765305 5.7398e-05 0.287049 
k=10 0.000748719 0.00394944 0.27464 0.00765305 4.935e-06 0.286996 
k=11 0.000748719 0.00394944 0.27464 0.00765305 4.825e-06 0.286996 
k=12 0.000748719 0.00394944 0.27464 0.00765305 4.791e-06 0.286996 
k=13 0.000748719 0.00394944 0.27464 0.00765305 4.86e-06 0.286996 
k=14 0.000748719 0.00394944 0.27464 0.00765305 4.794e-06 0.286996 
k=15 0.000748719 0.00394944 0.27464 0.00765305 4.869e-06 0.286996 
k=16 0.000748719 0.00394944 0.27464 0.00765305 4.794e-06 0.286996 
k=17 0.000748719 0.00394944 0.27464 0.00765305 6.0402e-05 0.287052 
k=18 0.000748719 0.00394944 0.27464 0.00765305 4.897e-06 0.286996 
k=19 0.000748719 0.00394944 0.27464 0.00765305 4.848e-06 0.286996 
k=20 0.000748719 0.00394944 0.27464 0.00765305 4.788e-06 0.286996 
k=21 0.000748719 0.00394944 0.27464 0.00765305 4.898e-06 0.286996 
k=22 0.000748719 0.00394944 0.27464 0.00765305 4.805e-06 0.286996 
k=23 0.000748719 0.00394944 0.27464 0.00765305 4.932e-06 0.286996 
k=24 0.000748719 0.00394944 0.27464 0.00765305 4.79e-06 0.286996 
k=25 0.000748719 0.00394944 0.27464 0.00765305 4.854e-06 0.286996 
k=26 0.000748719 0.00394944 0.27464 0.00765305 4.784e-06 0.286996 
k=27 0.000748719 0.00394944 0.27464 0.00765305 4.906e-06 0.286996 
k=28 0.000748719 0.00394944 0.27464 0.00765305 4.775e-06 0.286996 
k=29 0.000748719 0.00394944 0.27464 0.00765305 4.848e-06 0.286996 
k=30 0.000748719 0.00394944 0.27464 0.00765305 4.821e-06 0.286996 
k=31 0.000748719 0.00394944 0.27464 0.00765305 4.864e-06 0.286996 
k=32 0.000748719 0.00394944 0.27464 0.00765305 4.784e-06 0.286996 
k=33 0.000748719 0.00394944 0.27464 0.00765305 7.1144e-05 0.287062 
k=34 0.000748719 0.00394944 0.27464 0.00765305 5.114e-06 0.286996 
k=35 0.000748719 0.00394944 0.27464 0.00765305 4.972e-06 0.286996 
k=36 0.000748719 0.00394944 0.27464 0.00765305 4.851e-06 0.286996 
k=37 0.000748719 0.00394944 0.27464 0.00765305 4.914e-06 0.286996 
k=38 0.000748719 0.00394944 0.27464 0.00765305 4.79e-06 0.286996 
k=39 0.000748719 0.00394944 0.27464 0.00765305 5.103e-06 0.286996 
k=40 0.000748719 0.00394944 0.27464 0.00765305 4.791e-06 0.286996 
k=41 0.000748719 0.00394944 0.27464 0.00765305 4.849e-06 0.286996 
k=42 0.000748719 0.00394944 0.27464 0.00765305 4.79e-06 0.286996 
k=43 0.000748719 0.00394944 0.27464 0.00765305 4.909e-06 0.286996 
k=44 0.000748719 0.00394944 0.27464 0.00765305 4.792e-06 0.286996 
k=45 0.000748719 0.00394944 0.27464 0.00765305 4.973e-06 0.286996 
k=46 0.000748719 0.00394944 0.27464 0.00765305 4.793e-06 0.286996 
k=47 0.000748719 0.00394944 0.27464 0.00765305 4.826e-06 0.286996 
k=48 0.000748719 0.00394944 0.27464 0.00765305 4.792e-06 0.286996 
k=49 0.000748719 0.00394944 0.27464 0.00765305 4.839e-06 0.286996 
k=50 0.000748719 0.00394944 0.27464 0.00765305 4.756e-06 0.286996 
k=51 0.000748719 0.00394944 0.27464 0.00765305 4.911e-06 0.286996 
k=52 0.000748719 0.00394944 0.27464 0.00765305 4.794e-06 0.286996 
k=53 0.000748719 0.00394944 0.27464 0.00765305 4.929e-06 0.286996 
k=54 0.000748719 0.00394944 0.27464 0.00765305 4.761e-06 0.286996 
k=55 0.000748719 0.00394944 0.27464 0.00765305 4.887e-06 0.286996 
k=56 0.000748719 0.00394944 0.27464 0.00765305 4.773e-06 0.286996 
k=57 0.000748719 0.00394944 0.27464 0.00765305 4.817e-06 0.286996 
k=58 0.000748719 0.00394944 0.27464 0.00765305 4.735e-06 0.286996 
k=59 0.000748719 0.00394944 0.27464 0.00765305 4.893e-06 0.286996 
k=60 0.000748719 0.00394944 0.27464 0.00765305 4.788e-06 0.286996 
k=61 0.000748719 0.00394944 0.27464 0.00765305 4.983e-06 0.286996 
k=62 0.000748719 0.00394944 0.27464 0.00765305 4.766e-06 0.286996 
k=63 0.000748719 0.00394944 0.27464 0.00765305 4.844e-06 0.286996 
k=64 0.000748719 0.00394944 0.27464 0.00765305 4.767e-06 0.286996 
k=65 0.000748719 0.00394944 0.27464 0.00765305 9.3617e-05 0.287085 
k=66 0.000748719 0.00394944 0.27464 0.00765305 5.069e-06 0.286996 
k=67 0.000748719 0.00394944 0.27464 0.00765305 4.822e-06 0.286996 
k=68 0.000748719 0.00394944 0.27464 0.00765305 4.837e-06 0.286996 
k=69 0.000748719 0.00394944 0.27464 0.00765305 4.836e-06 0.286996 
k=70 0.000748719 0.00394944 0.27464 0.00765305 4.748e-06 0.286996 
k=71 0.000748719 0.00394944 0.27464 0.00765305 4.902e-06 0.286996 
k=72 0.000748719 0.00394944 0.27464 0.00765305 4.747e-06 0.286996 
k=73 0.000748719 0.00394944 0.27464 0.00765305 4.84e-06 0.286996 
k=74 0.000748719 0.00394944 0.27464 0.00765305 4.777e-06 0.286996 
k=75 0.000748719 0.00394944 0.27464 0.00765305 4.841e-06 0.286996 
k=76 0.000748719 0.00394944 0.27464 0.00765305 4.747e-06 0.286996 
k=77 0.000748719 0.00394944 0.27464 0.00765305 4.82e-06 0.286996 
k=78 0.000748719 0.00394944 0.27464 0.00765305 4.712e-06 0.286996 
k=79 0.000748719 0.00394944 0.27464 0.00765305 4.817e-06 0.286996 
k=80 0.000748719 0.00394944 0.27464 0.00765305 4.779e-06 0.286996 
k=81 0.000748719 0.00394944 0.27464 0.00765305 4.786e-06 0.286996 
k=82 0.000748719 0.00394944 0.27464 0.00765305 4.747e-06 0.286996 
k=83 0.000748719 0.00394944 0.27464 0.00765305 4.786e-06 0.286996 
k=84 0.000748719 0.00394944 0.27464 0.00765305 4.721e-06 0.286996 
k=85 0.000748719 0.00394944 0.27464 0.00765305 4.791e-06 0.286996 
k=86 0.000748719 0.00394944 0.27464 0.00765305 4.717e-06 0.286996 
k=87 0.000748719 0.00394944 0.27464 0.00765305 4.882e-06 0.286996 
k=88 0.000748719 0.00394944 0.27464 0.00765305 4.792e-06 0.286996 
k=89 0.000748719 0.00394944 0.27464 0.00765305 4.793e-06 0.286996 
k=90 0.000748719 0.00394944 0.27464 0.00765305 4.712e-06 0.286996 
k=91 0.000748719 0.00394944 0.27464 0.00765305 4.77e-06 0.286996 
k=92 0.000748719 0.00394944 0.27464 0.00765305 4.718e-06 0.286996 
k=93 0.000748719 0.00394944 0.27464 0.00765305 4.86e-06 0.286996 
k=94 0.000748719 0.00394944 0.27464 0.00765305 4.767e-06 0.286996 
k=95 0.000748719 0.00394944 0.27464 0.00765305 4.835e-06 0.286996 
k=96 0.000748719 0.00394944 0.27464 0.00765305 4.753e-06 0.286996 
k=97 0.000748719 0.00394944 0.27464 0.00765305 4.791e-06 0.286996 
k=98 0.000748719 0.00394944 0.27464 0.00765305 4.739e-06 0.286996 
k=99 0.000748719 0.00394944 0.27464 0.00765305 4.873e-06 0.286996 
k=100 0.000748719 0.00394944 0.27464 0.00765305 4.751e-06 0.286996 
k=101 0.000748719 0.00394944 0.27464 0.00765305 4.802e-06 0.286996 
k=102 0.000748719 0.00394944 0.27464 0.00765305 4.78e-06 0.286996 
k=103 0.000748719 0.00394944 0.27464 0.00765305 4.874e-06 0.286996 
k=104 0.000748719 0.00394944 0.27464 0.00765305 4.744e-06 0.286996 
k=105 0.000748719 0.00394944 0.27464 0.00765305 4.853e-06 0.286996 
k=106 0.000748719 0.00394944 0.27464 0.00765305 4.76e-06 0.286996 
k=107 0.000748719 0.00394944 0.27464 0.00765305 4.89e-06 0.286996 
k=108 0.000748719 0.00394944 0.27464 0.00765305 4.763e-06 0.286996 
k=109 0.000748719 0.00394944 0.27464 0.00765305 4.855e-06 0.286996 
k=110 0.000748719 0.00394944 0.27464 0.00765305 4.767e-06 0.286996 
k=111 0.000748719 0.00394944 0.27464 0.00765305 4.794e-06 0.286996 
k=112 0.000748719 0.00394944 0.27464 0.00765305 4.764e-06 0.286996 
k=113 0.000748719 0.00394944 0.27464 0.00765305 4.818e-06 0.286996 
k=114 0.000748719 0.00394944 0.27464 0.00765305 4.741e-06 0.286996 
k=115 0.000748719 0.00394944 0.27464 0.00765305 4.87e-06 0.286996 
