 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=79 0.000746492 0.00402014 0.279131 0.00767317 4.997e-06 0.291576 
k=80 0.000746492 0.00402014 0.279131 0.00767317 4.758e-06 0.291576 
k=81 0.000746492 0.00402014 0.279131 0.00767317 4.797e-06 0.291576 
k=82 0.000746492 0.00402014 0.279131 0.00767317 4.716e-06 0.291576 
k=83 0.000746492 0.00402014 0.279131 0.00767317 4.838e-06 0.291576 
k=84 0.000746492 0.00402014 0.279131 0.00767317 4.75e-06 0.291576 
k=85 0.000746492 0.00402014 0.279131 0.00767317 4.803e-06 0.291576 
k=86 0.000746492 0.00402014 0.279131 0.00767317 4.699e-06 0.291576 
k=87 0.000746492 0.00402014 0.279131 0.00767317 4.842e-06 0.291576 
k=88 0.000746492 0.00402014 0.279131 0.00767317 4.763e-06 0.291576 
k=89 0.000746492 0.00402014 0.279131 0.00767317 4.834e-06 0.291576 
k=90 0.000746492 0.00402014 0.279131 0.00767317 4.811e-06 0.291576 
k=91 0.000746492 0.00402014 0.279131 0.00767317 4.861e-06 0.291576 
k=92 0.000746492 0.00402014 0.279131 0.00767317 4.776e-06 0.291576 
k=93 0.000746492 0.00402014 0.279131 0.00767317 4.812e-06 0.291576 
k=94 0.000746492 0.00402014 0.279131 0.00767317 4.781e-06 0.291576 
k=95 0.000746492 0.00402014 0.279131 0.00767317 4.83e-06 0.291576 
k=96 0.000746492 0.00402014 0.279131 0.00767317 4.781e-06 0.291576 
k=97 0.000746492 0.00402014 0.279131 0.00767317 4.787e-06 0.291576 
k=98 0.000746492 0.00402014 0.279131 0.00767317 4.746e-06 0.291576 
k=99 0.000746492 0.00402014 0.279131 0.00767317 4.838e-06 0.291576 
k=100 0.000746492 0.00402014 0.279131 0.00767317 4.789e-06 0.291576 
k=101 0.000746492 0.00402014 0.279131 0.00767317 4.842e-06 0.291576 
k=102 0.000746492 0.00402014 0.279131 0.00767317 4.715e-06 0.291576 
k=103 0.000746492 0.00402014 0.279131 0.00767317 4.892e-06 0.291576 
k=104 0.000746492 0.00402014 0.279131 0.00767317 4.737e-06 0.291576 
k=105 0.000746492 0.00402014 0.279131 0.00767317 4.833e-06 0.291576 
k=106 0.000746492 0.00402014 0.279131 0.00767317 4.776e-06 0.291576 
k=107 0.000746492 0.00402014 0.279131 0.00767317 4.85e-06 0.291576 
k=108 0.000746492 0.00402014 0.279131 0.00767317 4.704e-06 0.291576 
k=109 0.000746492 0.00402014 0.279131 0.00767317 4.858e-06 0.291576 
k=110 0.000746492 0.00402014 0.279131 0.00767317 4.774e-06 0.291576 
k=111 0.000746492 0.00402014 0.279131 0.00767317 4.758e-06 0.291576 
k=112 0.000746492 0.00402014 0.279131 0.00767317 4.764e-06 0.291576 
k=113 0.000746492 0.00402014 0.279131 0.00767317 4.845e-06 0.291576 
k=114 0.000746492 0.00402014 0.279131 0.00767317 4.751e-06 0.291576 
k=115 0.000746492 0.00402014 0.279131 0.00767317 4.799e-06 0.291576 
