 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.000744599 0.00375304 0.26869 0.00761748 4.8302e-05 0.280853 
k=2 0.000744599 0.00375304 0.26869 0.00761748 4.7889e-05 0.280853 
k=3 0.000744599 0.00375304 0.26869 0.00761748 4.9383e-05 0.280854 
k=4 0.000744599 0.00375304 0.26869 0.00761748 4.861e-06 0.28081 
k=5 0.000744599 0.00375304 0.26869 0.00761748 5.3219e-05 0.280858 
k=6 0.000744599 0.00375304 0.26869 0.00761748 4.923e-06 0.28081 
k=7 0.000744599 0.00375304 0.26869 0.00761748 4.869e-06 0.28081 
k=8 0.000744599 0.00375304 0.26869 0.00761748 4.801e-06 0.28081 
k=9 0.000744599 0.00375304 0.26869 0.00761748 5.533e-05 0.28086 
k=10 0.000744599 0.00375304 0.26869 0.00761748 4.872e-06 0.28081 
k=11 0.000744599 0.00375304 0.26869 0.00761748 4.881e-06 0.28081 
k=12 0.000744599 0.00375304 0.26869 0.00761748 4.783e-06 0.28081 
k=13 0.000744599 0.00375304 0.26869 0.00761748 4.819e-06 0.28081 
k=14 0.000744599 0.00375304 0.26869 0.00761748 4.792e-06 0.28081 
k=15 0.000744599 0.00375304 0.26869 0.00761748 4.83e-06 0.28081 
k=16 0.000744599 0.00375304 0.26869 0.00761748 4.786e-06 0.28081 
k=17 0.000744599 0.00375304 0.26869 0.00761748 5.9763e-05 0.280865 
k=18 0.000744599 0.00375304 0.26869 0.00761748 4.868e-06 0.28081 
k=19 0.000744599 0.00375304 0.26869 0.00761748 5.015e-06 0.28081 
k=20 0.000744599 0.00375304 0.26869 0.00761748 4.801e-06 0.28081 
k=21 0.000744599 0.00375304 0.26869 0.00761748 4.857e-06 0.28081 
k=22 0.000744599 0.00375304 0.26869 0.00761748 4.807e-06 0.28081 
k=23 0.000744599 0.00375304 0.26869 0.00761748 4.87e-06 0.28081 
k=24 0.000744599 0.00375304 0.26869 0.00761748 4.802e-06 0.28081 
k=25 0.000744599 0.00375304 0.26869 0.00761748 4.862e-06 0.28081 
k=26 0.000744599 0.00375304 0.26869 0.00761748 4.76e-06 0.28081 
k=27 0.000744599 0.00375304 0.26869 0.00761748 4.906e-06 0.28081 
k=28 0.000744599 0.00375304 0.26869 0.00761748 4.79e-06 0.28081 
k=29 0.000744599 0.00375304 0.26869 0.00761748 4.814e-06 0.28081 
k=30 0.000744599 0.00375304 0.26869 0.00761748 4.762e-06 0.28081 
k=31 0.000744599 0.00375304 0.26869 0.00761748 4.791e-06 0.28081 
k=32 0.000744599 0.00375304 0.26869 0.00761748 4.75e-06 0.28081 
k=33 0.000744599 0.00375304 0.26869 0.00761748 7.0954e-05 0.280876 
k=34 0.000744599 0.00375304 0.26869 0.00761748 4.91e-06 0.28081 
k=35 0.000744599 0.00375304 0.26869 0.00761748 4.852e-06 0.28081 
k=36 0.000744599 0.00375304 0.26869 0.00761748 4.776e-06 0.28081 
k=37 0.000744599 0.00375304 0.26869 0.00761748 4.908e-06 0.28081 
k=38 0.000744599 0.00375304 0.26869 0.00761748 4.784e-06 0.28081 
k=39 0.000744599 0.00375304 0.26869 0.00761748 4.88e-06 0.28081 
k=40 0.000744599 0.00375304 0.26869 0.00761748 4.801e-06 0.28081 
k=41 0.000744599 0.00375304 0.26869 0.00761748 4.865e-06 0.28081 
k=42 0.000744599 0.00375304 0.26869 0.00761748 4.8e-06 0.28081 
k=43 0.000744599 0.00375304 0.26869 0.00761748 4.855e-06 0.28081 
k=44 0.000744599 0.00375304 0.26869 0.00761748 4.809e-06 0.28081 
k=45 0.000744599 0.00375304 0.26869 0.00761748 4.862e-06 0.28081 
k=46 0.000744599 0.00375304 0.26869 0.00761748 4.787e-06 0.28081 
k=47 0.000744599 0.00375304 0.26869 0.00761748 4.806e-06 0.28081 
k=48 0.000744599 0.00375304 0.26869 0.00761748 4.793e-06 0.28081 
k=49 0.000744599 0.00375304 0.26869 0.00761748 4.835e-06 0.28081 
k=50 0.000744599 0.00375304 0.26869 0.00761748 4.804e-06 0.28081 
k=51 0.000744599 0.00375304 0.26869 0.00761748 4.892e-06 0.28081 
k=52 0.000744599 0.00375304 0.26869 0.00761748 4.822e-06 0.28081 
k=53 0.000744599 0.00375304 0.26869 0.00761748 4.861e-06 0.28081 
k=54 0.000744599 0.00375304 0.26869 0.00761748 4.792e-06 0.28081 
k=55 0.000744599 0.00375304 0.26869 0.00761748 4.865e-06 0.28081 
k=56 0.000744599 0.00375304 0.26869 0.00761748 4.777e-06 0.28081 
k=57 0.000744599 0.00375304 0.26869 0.00761748 4.913e-06 0.28081 
k=58 0.000744599 0.00375304 0.26869 0.00761748 4.883e-06 0.28081 
k=59 0.000744599 0.00375304 0.26869 0.00761748 4.879e-06 0.28081 
k=60 0.000744599 0.00375304 0.26869 0.00761748 4.799e-06 0.28081 
k=61 0.000744599 0.00375304 0.26869 0.00761748 4.893e-06 0.28081 
k=62 0.000744599 0.00375304 0.26869 0.00761748 4.912e-06 0.28081 
k=63 0.000744599 0.00375304 0.26869 0.00761748 4.854e-06 0.28081 
k=64 0.000744599 0.00375304 0.26869 0.00761748 4.8e-06 0.28081 
k=65 0.000744599 0.00375304 0.26869 0.00761748 9.6866e-05 0.280902 
k=66 0.000744599 0.00375304 0.26869 0.00761748 5.014e-06 0.28081 
k=67 0.000744599 0.00375304 0.26869 0.00761748 4.897e-06 0.28081 
k=68 0.000744599 0.00375304 0.26869 0.00761748 4.808e-06 0.28081 
k=69 0.000744599 0.00375304 0.26869 0.00761748 4.799e-06 0.28081 
k=70 0.000744599 0.00375304 0.26869 0.00761748 4.713e-06 0.28081 
k=71 0.000744599 0.00375304 0.26869 0.00761748 4.779e-06 0.28081 
k=72 0.000744599 0.00375304 0.26869 0.00761748 4.742e-06 0.28081 
k=73 0.000744599 0.00375304 0.26869 0.00761748 4.79e-06 0.28081 
k=74 0.000744599 0.00375304 0.26869 0.00761748 4.734e-06 0.28081 
k=75 0.000744599 0.00375304 0.26869 0.00761748 4.778e-06 0.28081 
k=76 0.000744599 0.00375304 0.26869 0.00761748 4.761e-06 0.28081 
k=77 0.000744599 0.00375304 0.26869 0.00761748 4.79e-06 0.28081 
k=78 0.000744599 0.00375304 0.26869 0.00761748 4.754e-06 0.28081 
k=79 0.000744599 0.00375304 0.26869 0.00761748 4.828e-06 0.28081 
k=80 0.000744599 0.00375304 0.26869 0.00761748 4.763e-06 0.28081 
k=81 0.000744599 0.00375304 0.26869 0.00761748 4.828e-06 0.28081 
k=82 0.000744599 0.00375304 0.26869 0.00761748 4.75e-06 0.28081 
k=83 0.000744599 0.00375304 0.26869 0.00761748 4.817e-06 0.28081 
k=84 0.000744599 0.00375304 0.26869 0.00761748 4.768e-06 0.28081 
k=85 0.000744599 0.00375304 0.26869 0.00761748 4.836e-06 0.28081 
k=86 0.000744599 0.00375304 0.26869 0.00761748 4.749e-06 0.28081 
k=87 0.000744599 0.00375304 0.26869 0.00761748 4.828e-06 0.28081 
k=88 0.000744599 0.00375304 0.26869 0.00761748 4.812e-06 0.28081 
k=89 0.000744599 0.00375304 0.26869 0.00761748 4.856e-06 0.28081 
k=90 0.000744599 0.00375304 0.26869 0.00761748 4.763e-06 0.28081 
k=91 0.000744599 0.00375304 0.26869 0.00761748 4.809e-06 0.28081 
k=92 0.000744599 0.00375304 0.26869 0.00761748 4.741e-06 0.28081 
k=93 0.000744599 0.00375304 0.26869 0.00761748 4.813e-06 0.28081 
k=94 0.000744599 0.00375304 0.26869 0.00761748 4.744e-06 0.28081 
k=95 0.000744599 0.00375304 0.26869 0.00761748 4.818e-06 0.28081 
k=96 0.000744599 0.00375304 0.26869 0.00761748 4.796e-06 0.28081 
k=97 0.000744599 0.00375304 0.26869 0.00761748 4.797e-06 0.28081 
