 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.000753041 0.00397925 0.172361 0.00763058 4.8153e-05 0.184772 
k=2 0.000753041 0.00397925 0.172361 0.00763058 4.7676e-05 0.184771 
k=3 0.000753041 0.00397925 0.172361 0.00763058 5.1767e-05 0.184775 
k=4 0.000753041 0.00397925 0.172361 0.00763058 4.913e-06 0.184728 
k=5 0.000753041 0.00397925 0.172361 0.00763058 5.2291e-05 0.184776 
k=6 0.000753041 0.00397925 0.172361 0.00763058 4.939e-06 0.184728 
k=7 0.000753041 0.00397925 0.172361 0.00763058 4.838e-06 0.184728 
k=8 0.000753041 0.00397925 0.172361 0.00763058 4.765e-06 0.184728 
k=9 0.000753041 0.00397925 0.172361 0.00763058 5.6773e-05 0.18478 
k=10 0.000753041 0.00397925 0.172361 0.00763058 4.866e-06 0.184728 
k=11 0.000753041 0.00397925 0.172361 0.00763058 4.795e-06 0.184728 
k=12 0.000753041 0.00397925 0.172361 0.00763058 4.809e-06 0.184728 
k=13 0.000753041 0.00397925 0.172361 0.00763058 4.861e-06 0.184728 
k=14 0.000753041 0.00397925 0.172361 0.00763058 4.766e-06 0.184728 
k=15 0.000753041 0.00397925 0.172361 0.00763058 4.841e-06 0.184728 
k=16 0.000753041 0.00397925 0.172361 0.00763058 4.757e-06 0.184728 
k=17 0.000753041 0.00397925 0.172361 0.00763058 6.9145e-05 0.184793 
k=18 0.000753041 0.00397925 0.172361 0.00763058 4.936e-06 0.184728 
k=19 0.000753041 0.00397925 0.172361 0.00763058 4.836e-06 0.184728 
k=20 0.000753041 0.00397925 0.172361 0.00763058 4.818e-06 0.184728 
k=21 0.000753041 0.00397925 0.172361 0.00763058 4.831e-06 0.184728 
k=22 0.000753041 0.00397925 0.172361 0.00763058 4.752e-06 0.184728 
k=23 0.000753041 0.00397925 0.172361 0.00763058 4.865e-06 0.184728 
k=24 0.000753041 0.00397925 0.172361 0.00763058 4.817e-06 0.184728 
k=25 0.000753041 0.00397925 0.172361 0.00763058 4.946e-06 0.184728 
k=26 0.000753041 0.00397925 0.172361 0.00763058 4.757e-06 0.184728 
k=27 0.000753041 0.00397925 0.172361 0.00763058 4.781e-06 0.184728 
k=28 0.000753041 0.00397925 0.172361 0.00763058 4.752e-06 0.184728 
k=29 0.000753041 0.00397925 0.172361 0.00763058 4.851e-06 0.184728 
k=30 0.000753041 0.00397925 0.172361 0.00763058 4.735e-06 0.184728 
k=31 0.000753041 0.00397925 0.172361 0.00763058 4.845e-06 0.184728 
k=32 0.000753041 0.00397925 0.172361 0.00763058 4.786e-06 0.184728 
k=33 0.000753041 0.00397925 0.172361 0.00763058 7.2888e-05 0.184796 
k=34 0.000753041 0.00397925 0.172361 0.00763058 4.968e-06 0.184728 
k=35 0.000753041 0.00397925 0.172361 0.00763058 4.91e-06 0.184728 
k=36 0.000753041 0.00397925 0.172361 0.00763058 4.739e-06 0.184728 
k=37 0.000753041 0.00397925 0.172361 0.00763058 4.834e-06 0.184728 
k=38 0.000753041 0.00397925 0.172361 0.00763058 4.713e-06 0.184728 
k=39 0.000753041 0.00397925 0.172361 0.00763058 4.844e-06 0.184728 
k=40 0.000753041 0.00397925 0.172361 0.00763058 4.779e-06 0.184728 
k=41 0.000753041 0.00397925 0.172361 0.00763058 4.877e-06 0.184728 
k=42 0.000753041 0.00397925 0.172361 0.00763058 4.789e-06 0.184728 
k=43 0.000753041 0.00397925 0.172361 0.00763058 4.896e-06 0.184728 
k=44 0.000753041 0.00397925 0.172361 0.00763058 4.817e-06 0.184728 
k=45 0.000753041 0.00397925 0.172361 0.00763058 4.882e-06 0.184728 
k=46 0.000753041 0.00397925 0.172361 0.00763058 4.731e-06 0.184728 
k=47 0.000753041 0.00397925 0.172361 0.00763058 4.836e-06 0.184728 
k=48 0.000753041 0.00397925 0.172361 0.00763058 4.851e-06 0.184728 
k=49 0.000753041 0.00397925 0.172361 0.00763058 4.869e-06 0.184728 
k=50 0.000753041 0.00397925 0.172361 0.00763058 4.813e-06 0.184728 
k=51 0.000753041 0.00397925 0.172361 0.00763058 4.845e-06 0.184728 
k=52 0.000753041 0.00397925 0.172361 0.00763058 4.784e-06 0.184728 
k=53 0.000753041 0.00397925 0.172361 0.00763058 4.817e-06 0.184728 
k=54 0.000753041 0.00397925 0.172361 0.00763058 4.767e-06 0.184728 
k=55 0.000753041 0.00397925 0.172361 0.00763058 4.945e-06 0.184728 
k=56 0.000753041 0.00397925 0.172361 0.00763058 4.73e-06 0.184728 
k=57 0.000753041 0.00397925 0.172361 0.00763058 4.884e-06 0.184728 
k=58 0.000753041 0.00397925 0.172361 0.00763058 4.701e-06 0.184728 
k=59 0.000753041 0.00397925 0.172361 0.00763058 4.92e-06 0.184728 
k=60 0.000753041 0.00397925 0.172361 0.00763058 4.745e-06 0.184728 
k=61 0.000753041 0.00397925 0.172361 0.00763058 4.918e-06 0.184728 
k=62 0.000753041 0.00397925 0.172361 0.00763058 4.761e-06 0.184728 
k=63 0.000753041 0.00397925 0.172361 0.00763058 4.865e-06 0.184728 
k=64 0.000753041 0.00397925 0.172361 0.00763058 4.744e-06 0.184728 
k=65 0.000753041 0.00397925 0.172361 0.00763058 9.2503e-05 0.184816 
k=66 0.000753041 0.00397925 0.172361 0.00763058 5.128e-06 0.184729 
k=67 0.000753041 0.00397925 0.172361 0.00763058 4.898e-06 0.184728 
k=68 0.000753041 0.00397925 0.172361 0.00763058 4.787e-06 0.184728 
k=69 0.000753041 0.00397925 0.172361 0.00763058 4.805e-06 0.184728 
k=70 0.000753041 0.00397925 0.172361 0.00763058 4.75e-06 0.184728 
k=71 0.000753041 0.00397925 0.172361 0.00763058 4.837e-06 0.184728 
k=72 0.000753041 0.00397925 0.172361 0.00763058 4.758e-06 0.184728 
k=73 0.000753041 0.00397925 0.172361 0.00763058 4.838e-06 0.184728 
k=74 0.000753041 0.00397925 0.172361 0.00763058 4.784e-06 0.184728 
k=75 0.000753041 0.00397925 0.172361 0.00763058 4.841e-06 0.184728 
k=76 0.000753041 0.00397925 0.172361 0.00763058 4.747e-06 0.184728 
k=77 0.000753041 0.00397925 0.172361 0.00763058 4.862e-06 0.184728 
k=78 0.000753041 0.00397925 0.172361 0.00763058 4.759e-06 0.184728 
k=79 0.000753041 0.00397925 0.172361 0.00763058 4.824e-06 0.184728 
k=80 0.000753041 0.00397925 0.172361 0.00763058 4.761e-06 0.184728 
k=81 0.000753041 0.00397925 0.172361 0.00763058 4.794e-06 0.184728 
k=82 0.000753041 0.00397925 0.172361 0.00763058 4.77e-06 0.184728 
k=83 0.000753041 0.00397925 0.172361 0.00763058 4.812e-06 0.184728 
k=84 0.000753041 0.00397925 0.172361 0.00763058 4.792e-06 0.184728 
k=85 0.000753041 0.00397925 0.172361 0.00763058 4.883e-06 0.184728 
k=86 0.000753041 0.00397925 0.172361 0.00763058 4.815e-06 0.184728 
k=87 0.000753041 0.00397925 0.172361 0.00763058 4.902e-06 0.184728 
k=88 0.000753041 0.00397925 0.172361 0.00763058 4.784e-06 0.184728 
k=89 0.000753041 0.00397925 0.172361 0.00763058 4.815e-06 0.184728 
k=90 0.000753041 0.00397925 0.172361 0.00763058 4.802e-06 0.184728 
k=91 0.000753041 0.00397925 0.172361 0.00763058 4.812e-06 0.184728 
k=92 0.000753041 0.00397925 0.172361 0.00763058 4.771e-06 0.184728 
k=93 0.000753041 0.00397925 0.172361 0.00763058 4.858e-06 0.184728 
k=94 0.000753041 0.00397925 0.172361 0.00763058 4.771e-06 0.184728 
k=95 0.000753041 0.00397925 0.172361 0.00763058 4.84e-06 0.184728 
k=96 0.000753041 0.00397925 0.172361 0.00763058 4.816e-06 0.184728 
k=97 0.000753041 0.00397925 0.172361 0.00763058 4.853e-06 0.184728 
k=98 0.000753041 0.00397925 0.172361 0.00763058 4.783e-06 0.184728 
k=99 0.000753041 0.00397925 0.172361 0.00763058 4.837e-06 0.184728 
k=100 0.000753041 0.00397925 0.172361 0.00763058 4.745e-06 0.184728 
k=101 0.000753041 0.00397925 0.172361 0.00763058 4.809e-06 0.184728 
k=102 0.000753041 0.00397925 0.172361 0.00763058 4.811e-06 0.184728 
k=103 0.000753041 0.00397925 0.172361 0.00763058 4.821e-06 0.184728 
k=104 0.000753041 0.00397925 0.172361 0.00763058 4.794e-06 0.184728 
k=105 0.000753041 0.00397925 0.172361 0.00763058 4.836e-06 0.184728 
k=106 0.000753041 0.00397925 0.172361 0.00763058 4.745e-06 0.184728 
k=107 0.000753041 0.00397925 0.172361 0.00763058 4.854e-06 0.184728 
k=108 0.000753041 0.00397925 0.172361 0.00763058 4.751e-06 0.184728 
k=109 0.000753041 0.00397925 0.172361 0.00763058 4.816e-06 0.184728 
k=110 0.000753041 0.00397925 0.172361 0.00763058 4.764e-06 0.184728 
k=111 0.000753041 0.00397925 0.172361 0.00763058 4.838e-06 0.184728 
k=112 0.000753041 0.00397925 0.172361 0.00763058 4.757e-06 0.184728 
k=113 0.000753041 0.00397925 0.172361 0.00763058 4.84e-06 0.184728 
k=114 0.000753041 0.00397925 0.172361 0.00763058 4.795e-06 0.184728 
k=115 0.000753041 0.00397925 0.172361 0.00763058 4.841e-06 0.184728 
