 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.000745541 0.00375334 0.167832 0.0076261 4.8078e-05 0.180005 
k=2 0.000745541 0.00375334 0.167832 0.0076261 4.7943e-05 0.180005 
k=3 0.000745541 0.00375334 0.167832 0.0076261 5.2048e-05 0.180009 
k=4 0.000745541 0.00375334 0.167832 0.0076261 4.894e-06 0.179962 
k=5 0.000745541 0.00375334 0.167832 0.0076261 5.2127e-05 0.180009 
k=6 0.000745541 0.00375334 0.167832 0.0076261 4.828e-06 0.179962 
k=7 0.000745541 0.00375334 0.167832 0.0076261 4.852e-06 0.179962 
k=8 0.000745541 0.00375334 0.167832 0.0076261 4.767e-06 0.179962 
k=9 0.000745541 0.00375334 0.167832 0.0076261 5.6687e-05 0.180013 
k=10 0.000745541 0.00375334 0.167832 0.0076261 4.888e-06 0.179962 
k=11 0.000745541 0.00375334 0.167832 0.0076261 4.933e-06 0.179962 
k=12 0.000745541 0.00375334 0.167832 0.0076261 4.808e-06 0.179962 
k=13 0.000745541 0.00375334 0.167832 0.0076261 4.808e-06 0.179962 
k=14 0.000745541 0.00375334 0.167832 0.0076261 4.769e-06 0.179962 
k=15 0.000745541 0.00375334 0.167832 0.0076261 4.865e-06 0.179962 
k=16 0.000745541 0.00375334 0.167832 0.0076261 4.76e-06 0.179962 
k=17 0.000745541 0.00375334 0.167832 0.0076261 6.1875e-05 0.180019 
k=18 0.000745541 0.00375334 0.167832 0.0076261 4.994e-06 0.179962 
k=19 0.000745541 0.00375334 0.167832 0.0076261 4.881e-06 0.179962 
k=20 0.000745541 0.00375334 0.167832 0.0076261 4.744e-06 0.179962 
k=21 0.000745541 0.00375334 0.167832 0.0076261 4.84e-06 0.179962 
k=22 0.000745541 0.00375334 0.167832 0.0076261 4.762e-06 0.179962 
k=23 0.000745541 0.00375334 0.167832 0.0076261 4.806e-06 0.179962 
k=24 0.000745541 0.00375334 0.167832 0.0076261 4.779e-06 0.179962 
k=25 0.000745541 0.00375334 0.167832 0.0076261 4.863e-06 0.179962 
k=26 0.000745541 0.00375334 0.167832 0.0076261 4.802e-06 0.179962 
k=27 0.000745541 0.00375334 0.167832 0.0076261 4.823e-06 0.179962 
k=28 0.000745541 0.00375334 0.167832 0.0076261 4.771e-06 0.179962 
k=29 0.000745541 0.00375334 0.167832 0.0076261 4.88e-06 0.179962 
k=30 0.000745541 0.00375334 0.167832 0.0076261 4.799e-06 0.179962 
k=31 0.000745541 0.00375334 0.167832 0.0076261 4.884e-06 0.179962 
k=32 0.000745541 0.00375334 0.167832 0.0076261 4.799e-06 0.179962 
k=33 0.000745541 0.00375334 0.167832 0.0076261 7.7697e-05 0.180034 
k=34 0.000745541 0.00375334 0.167832 0.0076261 5.024e-06 0.179962 
k=35 0.000745541 0.00375334 0.167832 0.0076261 4.842e-06 0.179962 
k=36 0.000745541 0.00375334 0.167832 0.0076261 4.79e-06 0.179962 
k=37 0.000745541 0.00375334 0.167832 0.0076261 4.804e-06 0.179962 
k=38 0.000745541 0.00375334 0.167832 0.0076261 4.808e-06 0.179962 
k=39 0.000745541 0.00375334 0.167832 0.0076261 4.818e-06 0.179962 
k=40 0.000745541 0.00375334 0.167832 0.0076261 4.761e-06 0.179962 
k=41 0.000745541 0.00375334 0.167832 0.0076261 4.862e-06 0.179962 
k=42 0.000745541 0.00375334 0.167832 0.0076261 4.781e-06 0.179962 
