 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.00074425 0.00382878 0.169161 0.00764434 4.9321e-05 0.181427 
k=2 0.00074425 0.00382878 0.169161 0.00764434 4.804e-05 0.181426 
k=3 0.00074425 0.00382878 0.169161 0.00764434 4.9027e-05 0.181427 
k=4 0.00074425 0.00382878 0.169161 0.00764434 4.883e-06 0.181383 
k=5 0.00074425 0.00382878 0.169161 0.00764434 5.3185e-05 0.181431 
k=6 0.00074425 0.00382878 0.169161 0.00764434 4.92e-06 0.181383 
k=7 0.00074425 0.00382878 0.169161 0.00764434 4.805e-06 0.181383 
k=8 0.00074425 0.00382878 0.169161 0.00764434 4.761e-06 0.181383 
k=9 0.00074425 0.00382878 0.169161 0.00764434 5.6422e-05 0.181434 
k=10 0.00074425 0.00382878 0.169161 0.00764434 4.859e-06 0.181383 
k=11 0.00074425 0.00382878 0.169161 0.00764434 4.872e-06 0.181383 
k=12 0.00074425 0.00382878 0.169161 0.00764434 4.768e-06 0.181383 
k=13 0.00074425 0.00382878 0.169161 0.00764434 4.782e-06 0.181383 
k=14 0.00074425 0.00382878 0.169161 0.00764434 4.773e-06 0.181383 
k=15 0.00074425 0.00382878 0.169161 0.00764434 4.809e-06 0.181383 
k=16 0.00074425 0.00382878 0.169161 0.00764434 4.752e-06 0.181383 
k=17 0.00074425 0.00382878 0.169161 0.00764434 6.4841e-05 0.181443 
k=18 0.00074425 0.00382878 0.169161 0.00764434 4.955e-06 0.181383 
k=19 0.00074425 0.00382878 0.169161 0.00764434 4.847e-06 0.181383 
k=20 0.00074425 0.00382878 0.169161 0.00764434 4.734e-06 0.181383 
k=21 0.00074425 0.00382878 0.169161 0.00764434 4.849e-06 0.181383 
k=22 0.00074425 0.00382878 0.169161 0.00764434 4.76e-06 0.181383 
k=23 0.00074425 0.00382878 0.169161 0.00764434 4.812e-06 0.181383 
k=24 0.00074425 0.00382878 0.169161 0.00764434 4.768e-06 0.181383 
k=25 0.00074425 0.00382878 0.169161 0.00764434 4.821e-06 0.181383 
k=26 0.00074425 0.00382878 0.169161 0.00764434 4.744e-06 0.181383 
k=27 0.00074425 0.00382878 0.169161 0.00764434 4.826e-06 0.181383 
k=28 0.00074425 0.00382878 0.169161 0.00764434 4.727e-06 0.181383 
k=29 0.00074425 0.00382878 0.169161 0.00764434 4.807e-06 0.181383 
k=30 0.00074425 0.00382878 0.169161 0.00764434 4.748e-06 0.181383 
k=31 0.00074425 0.00382878 0.169161 0.00764434 4.851e-06 0.181383 
k=32 0.00074425 0.00382878 0.169161 0.00764434 4.799e-06 0.181383 
k=33 0.00074425 0.00382878 0.169161 0.00764434 7.3031e-05 0.181451 
k=34 0.00074425 0.00382878 0.169161 0.00764434 4.986e-06 0.181383 
k=35 0.00074425 0.00382878 0.169161 0.00764434 4.869e-06 0.181383 
k=36 0.00074425 0.00382878 0.169161 0.00764434 4.75e-06 0.181383 
k=37 0.00074425 0.00382878 0.169161 0.00764434 4.782e-06 0.181383 
k=38 0.00074425 0.00382878 0.169161 0.00764434 4.756e-06 0.181383 
k=39 0.00074425 0.00382878 0.169161 0.00764434 4.856e-06 0.181383 
k=40 0.00074425 0.00382878 0.169161 0.00764434 4.792e-06 0.181383 
k=41 0.00074425 0.00382878 0.169161 0.00764434 4.86e-06 0.181383 
k=42 0.00074425 0.00382878 0.169161 0.00764434 4.753e-06 0.181383 
k=43 0.00074425 0.00382878 0.169161 0.00764434 4.799e-06 0.181383 
k=44 0.00074425 0.00382878 0.169161 0.00764434 4.705e-06 0.181383 
k=45 0.00074425 0.00382878 0.169161 0.00764434 4.794e-06 0.181383 
k=46 0.00074425 0.00382878 0.169161 0.00764434 4.725e-06 0.181383 
k=47 0.00074425 0.00382878 0.169161 0.00764434 4.822e-06 0.181383 
