 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.000745996 0.00347145 0.256633 0.00763421 4.9593e-05 0.268534 
k=2 0.000745996 0.00347145 0.256633 0.00763421 4.7843e-05 0.268532 
k=3 0.000745996 0.00347145 0.256633 0.00763421 4.9324e-05 0.268534 
k=4 0.000745996 0.00347145 0.256633 0.00763421 4.838e-06 0.268489 
k=5 0.000745996 0.00347145 0.256633 0.00763421 5.4039e-05 0.268538 
k=6 0.000745996 0.00347145 0.256633 0.00763421 4.897e-06 0.268489 
k=7 0.000745996 0.00347145 0.256633 0.00763421 4.821e-06 0.268489 
k=8 0.000745996 0.00347145 0.256633 0.00763421 4.794e-06 0.268489 
k=9 0.000745996 0.00347145 0.256633 0.00763421 5.6612e-05 0.268541 
k=10 0.000745996 0.00347145 0.256633 0.00763421 4.88e-06 0.268489 
k=11 0.000745996 0.00347145 0.256633 0.00763421 4.821e-06 0.268489 
k=12 0.000745996 0.00347145 0.256633 0.00763421 4.748e-06 0.268489 
k=13 0.000745996 0.00347145 0.256633 0.00763421 4.842e-06 0.268489 
k=14 0.000745996 0.00347145 0.256633 0.00763421 4.746e-06 0.268489 
k=15 0.000745996 0.00347145 0.256633 0.00763421 4.821e-06 0.268489 
k=16 0.000745996 0.00347145 0.256633 0.00763421 4.8e-06 0.268489 
k=17 0.000745996 0.00347145 0.256633 0.00763421 5.9953e-05 0.268544 
k=18 0.000745996 0.00347145 0.256633 0.00763421 4.996e-06 0.268489 
k=19 0.000745996 0.00347145 0.256633 0.00763421 4.844e-06 0.268489 
k=20 0.000745996 0.00347145 0.256633 0.00763421 4.701e-06 0.268489 
k=21 0.000745996 0.00347145 0.256633 0.00763421 4.799e-06 0.268489 
k=22 0.000745996 0.00347145 0.256633 0.00763421 4.705e-06 0.268489 
k=23 0.000745996 0.00347145 0.256633 0.00763421 4.809e-06 0.268489 
k=24 0.000745996 0.00347145 0.256633 0.00763421 4.743e-06 0.268489 
k=25 0.000745996 0.00347145 0.256633 0.00763421 4.783e-06 0.268489 
k=26 0.000745996 0.00347145 0.256633 0.00763421 4.748e-06 0.268489 
k=27 0.000745996 0.00347145 0.256633 0.00763421 4.806e-06 0.268489 
k=28 0.000745996 0.00347145 0.256633 0.00763421 4.682e-06 0.268489 
k=29 0.000745996 0.00347145 0.256633 0.00763421 4.757e-06 0.268489 
k=30 0.000745996 0.00347145 0.256633 0.00763421 4.708e-06 0.268489 
k=31 0.000745996 0.00347145 0.256633 0.00763421 4.799e-06 0.268489 
k=32 0.000745996 0.00347145 0.256633 0.00763421 4.724e-06 0.268489 
k=33 0.000745996 0.00347145 0.256633 0.00763421 7.1091e-05 0.268556 
k=34 0.000745996 0.00347145 0.256633 0.00763421 4.91e-06 0.268489 
k=35 0.000745996 0.00347145 0.256633 0.00763421 4.803e-06 0.268489 
k=36 0.000745996 0.00347145 0.256633 0.00763421 4.729e-06 0.268489 
k=37 0.000745996 0.00347145 0.256633 0.00763421 4.791e-06 0.268489 
k=38 0.000745996 0.00347145 0.256633 0.00763421 4.73e-06 0.268489 
k=39 0.000745996 0.00347145 0.256633 0.00763421 4.789e-06 0.268489 
k=40 0.000745996 0.00347145 0.256633 0.00763421 4.714e-06 0.268489 
k=41 0.000745996 0.00347145 0.256633 0.00763421 4.787e-06 0.268489 
k=42 0.000745996 0.00347145 0.256633 0.00763421 4.762e-06 0.268489 
k=43 0.000745996 0.00347145 0.256633 0.00763421 4.771e-06 0.268489 
k=44 0.000745996 0.00347145 0.256633 0.00763421 4.712e-06 0.268489 
k=45 0.000745996 0.00347145 0.256633 0.00763421 4.858e-06 0.268489 
k=46 0.000745996 0.00347145 0.256633 0.00763421 4.76e-06 0.268489 
k=47 0.000745996 0.00347145 0.256633 0.00763421 4.746e-06 0.268489 
k=48 0.000745996 0.00347145 0.256633 0.00763421 4.751e-06 0.268489 
k=49 0.000745996 0.00347145 0.256633 0.00763421 4.846e-06 0.268489 
k=50 0.000745996 0.00347145 0.256633 0.00763421 4.732e-06 0.268489 
k=51 0.000745996 0.00347145 0.256633 0.00763421 4.812e-06 0.268489 
k=52 0.000745996 0.00347145 0.256633 0.00763421 4.744e-06 0.268489 
k=53 0.000745996 0.00347145 0.256633 0.00763421 4.801e-06 0.268489 
k=54 0.000745996 0.00347145 0.256633 0.00763421 4.701e-06 0.268489 
k=55 0.000745996 0.00347145 0.256633 0.00763421 4.792e-06 0.268489 
k=56 0.000745996 0.00347145 0.256633 0.00763421 4.788e-06 0.268489 
k=57 0.000745996 0.00347145 0.256633 0.00763421 4.819e-06 0.268489 
k=58 0.000745996 0.00347145 0.256633 0.00763421 4.799e-06 0.268489 
k=59 0.000745996 0.00347145 0.256633 0.00763421 4.79e-06 0.268489 
k=60 0.000745996 0.00347145 0.256633 0.00763421 4.75e-06 0.268489 
k=61 0.000745996 0.00347145 0.256633 0.00763421 4.907e-06 0.268489 
k=62 0.000745996 0.00347145 0.256633 0.00763421 4.749e-06 0.268489 
k=63 0.000745996 0.00347145 0.256633 0.00763421 4.83e-06 0.268489 
k=64 0.000745996 0.00347145 0.256633 0.00763421 4.751e-06 0.268489 
k=65 0.000745996 0.00347145 0.256633 0.00763421 9.3139e-05 0.268578 
k=66 0.000745996 0.00347145 0.256633 0.00763421 5.112e-06 0.26849 
k=67 0.000745996 0.00347145 0.256633 0.00763421 4.844e-06 0.268489 
k=68 0.000745996 0.00347145 0.256633 0.00763421 4.734e-06 0.268489 
k=69 0.000745996 0.00347145 0.256633 0.00763421 4.88e-06 0.268489 
k=70 0.000745996 0.00347145 0.256633 0.00763421 4.745e-06 0.268489 
k=71 0.000745996 0.00347145 0.256633 0.00763421 4.793e-06 0.268489 
k=72 0.000745996 0.00347145 0.256633 0.00763421 4.723e-06 0.268489 
k=73 0.000745996 0.00347145 0.256633 0.00763421 4.809e-06 0.268489 
k=74 0.000745996 0.00347145 0.256633 0.00763421 4.741e-06 0.268489 
k=75 0.000745996 0.00347145 0.256633 0.00763421 4.799e-06 0.268489 
k=76 0.000745996 0.00347145 0.256633 0.00763421 4.757e-06 0.268489 
k=77 0.000745996 0.00347145 0.256633 0.00763421 4.762e-06 0.268489 
k=78 0.000745996 0.00347145 0.256633 0.00763421 4.76e-06 0.268489 
k=79 0.000745996 0.00347145 0.256633 0.00763421 4.811e-06 0.268489 
k=80 0.000745996 0.00347145 0.256633 0.00763421 4.74e-06 0.268489 
k=81 0.000745996 0.00347145 0.256633 0.00763421 4.781e-06 0.268489 
k=82 0.000745996 0.00347145 0.256633 0.00763421 4.735e-06 0.268489 
k=83 0.000745996 0.00347145 0.256633 0.00763421 4.823e-06 0.268489 
k=84 0.000745996 0.00347145 0.256633 0.00763421 4.726e-06 0.268489 
k=85 0.000745996 0.00347145 0.256633 0.00763421 4.83e-06 0.268489 
k=86 0.000745996 0.00347145 0.256633 0.00763421 4.729e-06 0.268489 
k=87 0.000745996 0.00347145 0.256633 0.00763421 4.758e-06 0.268489 
k=88 0.000745996 0.00347145 0.256633 0.00763421 4.737e-06 0.268489 
k=89 0.000745996 0.00347145 0.256633 0.00763421 4.786e-06 0.268489 
k=90 0.000745996 0.00347145 0.256633 0.00763421 4.7e-06 0.268489 
k=91 0.000745996 0.00347145 0.256633 0.00763421 4.769e-06 0.268489 
k=92 0.000745996 0.00347145 0.256633 0.00763421 4.665e-06 0.268489 
k=93 0.000745996 0.00347145 0.256633 0.00763421 4.824e-06 0.268489 
k=94 0.000745996 0.00347145 0.256633 0.00763421 4.737e-06 0.268489 
k=95 0.000745996 0.00347145 0.256633 0.00763421 4.787e-06 0.268489 
k=96 0.000745996 0.00347145 0.256633 0.00763421 4.742e-06 0.268489 
k=97 0.000745996 0.00347145 0.256633 0.00763421 4.837e-06 0.268489 
k=98 0.000745996 0.00347145 0.256633 0.00763421 4.696e-06 0.268489 
k=99 0.000745996 0.00347145 0.256633 0.00763421 4.783e-06 0.268489 
k=100 0.000745996 0.00347145 0.256633 0.00763421 4.731e-06 0.268489 
k=101 0.000745996 0.00347145 0.256633 0.00763421 4.83e-06 0.268489 
k=102 0.000745996 0.00347145 0.256633 0.00763421 4.72e-06 0.268489 
k=103 0.000745996 0.00347145 0.256633 0.00763421 4.782e-06 0.268489 
k=104 0.000745996 0.00347145 0.256633 0.00763421 4.742e-06 0.268489 
k=105 0.000745996 0.00347145 0.256633 0.00763421 4.783e-06 0.268489 
k=106 0.000745996 0.00347145 0.256633 0.00763421 4.701e-06 0.268489 
k=107 0.000745996 0.00347145 0.256633 0.00763421 4.782e-06 0.268489 
k=108 0.000745996 0.00347145 0.256633 0.00763421 4.717e-06 0.268489 
k=109 0.000745996 0.00347145 0.256633 0.00763421 4.829e-06 0.268489 
k=110 0.000745996 0.00347145 0.256633 0.00763421 4.752e-06 0.268489 
k=111 0.000745996 0.00347145 0.256633 0.00763421 4.815e-06 0.268489 
k=112 0.000745996 0.00347145 0.256633 0.00763421 4.76e-06 0.268489 
k=113 0.000745996 0.00347145 0.256633 0.00763421 4.79e-06 0.268489 
k=114 0.000745996 0.00347145 0.256633 0.00763421 4.723e-06 0.268489 
k=115 0.000745996 0.00347145 0.256633 0.00763421 4.755e-06 0.268489 
