 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.000814385 0.00397668 0.283217 0.00767789 5.2548e-05 0.295739 
k=2 0.000814385 0.00397668 0.283217 0.00767789 4.7932e-05 0.295734 
k=3 0.000814385 0.00397668 0.283217 0.00767789 4.9449e-05 0.295736 
k=4 0.000814385 0.00397668 0.283217 0.00767789 4.864e-06 0.295691 
k=5 0.000814385 0.00397668 0.283217 0.00767789 5.3156e-05 0.29574 
k=6 0.000814385 0.00397668 0.283217 0.00767789 4.773e-06 0.295691 
k=7 0.000814385 0.00397668 0.283217 0.00767789 5.391e-06 0.295692 
k=8 0.000814385 0.00397668 0.283217 0.00767789 4.726e-06 0.295691 
k=9 0.000814385 0.00397668 0.283217 0.00767789 5.5438e-05 0.295742 
k=10 0.000814385 0.00397668 0.283217 0.00767789 4.906e-06 0.295691 
k=11 0.000814385 0.00397668 0.283217 0.00767789 5.008e-06 0.295691 
k=12 0.000814385 0.00397668 0.283217 0.00767789 4.733e-06 0.295691 
k=13 0.000814385 0.00397668 0.283217 0.00767789 4.775e-06 0.295691 
k=14 0.000814385 0.00397668 0.283217 0.00767789 4.747e-06 0.295691 
k=15 0.000814385 0.00397668 0.283217 0.00767789 5.027e-06 0.295691 
k=16 0.000814385 0.00397668 0.283217 0.00767789 4.741e-06 0.295691 
k=17 0.000814385 0.00397668 0.283217 0.00767789 6.0095e-05 0.295747 
k=18 0.000814385 0.00397668 0.283217 0.00767789 4.873e-06 0.295691 
k=19 0.000814385 0.00397668 0.283217 0.00767789 4.915e-06 0.295691 
k=20 0.000814385 0.00397668 0.283217 0.00767789 4.726e-06 0.295691 
k=21 0.000814385 0.00397668 0.283217 0.00767789 4.961e-06 0.295691 
k=22 0.000814385 0.00397668 0.283217 0.00767789 4.742e-06 0.295691 
k=23 0.000814385 0.00397668 0.283217 0.00767789 5.496e-06 0.295692 
k=24 0.000814385 0.00397668 0.283217 0.00767789 4.74e-06 0.295691 
k=25 0.000814385 0.00397668 0.283217 0.00767789 4.924e-06 0.295691 
k=26 0.000814385 0.00397668 0.283217 0.00767789 1.8886e-05 0.295705 
k=27 0.000814385 0.00397668 0.283217 0.00767789 5.087e-06 0.295692 
k=28 0.000814385 0.00397668 0.283217 0.00767789 4.774e-06 0.295691 
k=29 0.000814385 0.00397668 0.283217 0.00767789 4.927e-06 0.295691 
k=30 0.000814385 0.00397668 0.283217 0.00767789 4.778e-06 0.295691 
k=31 0.000814385 0.00397668 0.283217 0.00767789 5.091e-06 0.295692 
k=32 0.000814385 0.00397668 0.283217 0.00767789 4.756e-06 0.295691 
k=33 0.000814385 0.00397668 0.283217 0.00767789 7.7132e-05 0.295764 
k=34 0.000814385 0.00397668 0.283217 0.00767789 4.956e-06 0.295691 
k=35 0.000814385 0.00397668 0.283217 0.00767789 5.059e-06 0.295691 
k=36 0.000814385 0.00397668 0.283217 0.00767789 4.76e-06 0.295691 
k=37 0.000814385 0.00397668 0.283217 0.00767789 4.856e-06 0.295691 
k=38 0.000814385 0.00397668 0.283217 0.00767789 4.754e-06 0.295691 
k=39 0.000814385 0.00397668 0.283217 0.00767789 5.079e-06 0.295692 
k=40 0.000814385 0.00397668 0.283217 0.00767789 4.753e-06 0.295691 
k=41 0.000814385 0.00397668 0.283217 0.00767789 5.044e-06 0.295691 
k=42 0.000814385 0.00397668 0.283217 0.00767789 4.788e-06 0.295691 
k=43 0.000814385 0.00397668 0.283217 0.00767789 5.028e-06 0.295691 
k=44 0.000814385 0.00397668 0.283217 0.00767789 4.733e-06 0.295691 
k=45 0.000814385 0.00397668 0.283217 0.00767789 4.77e-06 0.295691 
k=46 0.000814385 0.00397668 0.283217 0.00767789 4.771e-06 0.295691 
k=47 0.000814385 0.00397668 0.283217 0.00767789 4.84e-06 0.295691 
k=48 0.000814385 0.00397668 0.283217 0.00767789 4.742e-06 0.295691 
k=49 0.000814385 0.00397668 0.283217 0.00767789 4.914e-06 0.295691 
k=50 0.000814385 0.00397668 0.283217 0.00767789 4.727e-06 0.295691 
k=51 0.000814385 0.00397668 0.283217 0.00767789 5.196e-06 0.295692 
k=52 0.000814385 0.00397668 0.283217 0.00767789 4.735e-06 0.295691 
