 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.000808569 0.00395565 0.0584753 0.00764705 5.0676e-05 0.0709373 
k=2 0.000808569 0.00395565 0.0584753 0.00764705 4.8373e-05 0.070935 
k=3 0.000808569 0.00395565 0.0584753 0.00764705 5.3804e-05 0.0709404 
k=4 0.000808569 0.00395565 0.0584753 0.00764705 4.983e-06 0.0708916 
k=5 0.000808569 0.00395565 0.0584753 0.00764705 5.495e-05 0.0709416 
k=6 0.000808569 0.00395565 0.0584753 0.00764705 4.867e-06 0.0708915 
k=7 0.000808569 0.00395565 0.0584753 0.00764705 4.83e-06 0.0708914 
k=8 0.000808569 0.00395565 0.0584753 0.00764705 4.802e-06 0.0708914 
k=9 0.000808569 0.00395565 0.0584753 0.00764705 6.0303e-05 0.0709469 
k=10 0.000808569 0.00395565 0.0584753 0.00764705 5.006e-06 0.0708916 
k=11 0.000808569 0.00395565 0.0584753 0.00764705 4.871e-06 0.0708915 
k=12 0.000808569 0.00395565 0.0584753 0.00764705 4.794e-06 0.0708914 
k=13 0.000808569 0.00395565 0.0584753 0.00764705 4.795e-06 0.0708914 
k=14 0.000808569 0.00395565 0.0584753 0.00764705 4.744e-06 0.0708913 
k=15 0.000808569 0.00395565 0.0584753 0.00764705 4.786e-06 0.0708914 
k=16 0.000808569 0.00395565 0.0584753 0.00764705 4.762e-06 0.0708914 
k=17 0.000808569 0.00395565 0.0584753 0.00764705 6.3911e-05 0.0709505 
k=18 0.000808569 0.00395565 0.0584753 0.00764705 4.928e-06 0.0708915 
k=19 0.000808569 0.00395565 0.0584753 0.00764705 4.823e-06 0.0708914 
k=20 0.000808569 0.00395565 0.0584753 0.00764705 4.757e-06 0.0708914 
k=21 0.000808569 0.00395565 0.0584753 0.00764705 4.801e-06 0.0708914 
k=22 0.000808569 0.00395565 0.0584753 0.00764705 4.718e-06 0.0708913 
k=23 0.000808569 0.00395565 0.0584753 0.00764705 4.884e-06 0.0708915 
k=24 0.000808569 0.00395565 0.0584753 0.00764705 4.741e-06 0.0708913 
k=25 0.000808569 0.00395565 0.0584753 0.00764705 4.783e-06 0.0708914 
