 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.000809815 0.00343628 0.0561284 0.00766689 4.8401e-05 0.0680898 
k=2 0.000809815 0.00343628 0.0561284 0.00766689 4.6762e-05 0.0680881 
k=3 0.000809815 0.00343628 0.0561284 0.00766689 5.0487e-05 0.0680919 
k=4 0.000809815 0.00343628 0.0561284 0.00766689 4.946e-06 0.0680463 
k=5 0.000809815 0.00343628 0.0561284 0.00766689 5.5831e-05 0.0680972 
k=6 0.000809815 0.00343628 0.0561284 0.00766689 4.894e-06 0.0680463 
k=7 0.000809815 0.00343628 0.0561284 0.00766689 4.911e-06 0.0680463 
k=8 0.000809815 0.00343628 0.0561284 0.00766689 4.76e-06 0.0680461 
k=9 0.000809815 0.00343628 0.0561284 0.00766689 5.5532e-05 0.0680969 
k=10 0.000809815 0.00343628 0.0561284 0.00766689 4.918e-06 0.0680463 
k=11 0.000809815 0.00343628 0.0561284 0.00766689 4.838e-06 0.0680462 
k=12 0.000809815 0.00343628 0.0561284 0.00766689 1.8976e-05 0.0680603 
k=13 0.000809815 0.00343628 0.0561284 0.00766689 4.962e-06 0.0680463 
k=14 0.000809815 0.00343628 0.0561284 0.00766689 4.87e-06 0.0680462 
k=15 0.000809815 0.00343628 0.0561284 0.00766689 4.78e-06 0.0680461 
k=16 0.000809815 0.00343628 0.0561284 0.00766689 4.719e-06 0.0680461 
k=17 0.000809815 0.00343628 0.0561284 0.00766689 6.1678e-05 0.068103 
k=18 0.000809815 0.00343628 0.0561284 0.00766689 5.01e-06 0.0680464 
k=19 0.000809815 0.00343628 0.0561284 0.00766689 4.9e-06 0.0680463 
k=20 0.000809815 0.00343628 0.0561284 0.00766689 4.77e-06 0.0680461 
k=21 0.000809815 0.00343628 0.0561284 0.00766689 4.815e-06 0.0680462 
k=22 0.000809815 0.00343628 0.0561284 0.00766689 4.749e-06 0.0680461 
k=23 0.000809815 0.00343628 0.0561284 0.00766689 4.784e-06 0.0680461 
k=24 0.000809815 0.00343628 0.0561284 0.00766689 4.758e-06 0.0680461 
k=25 0.000809815 0.00343628 0.0561284 0.00766689 4.864e-06 0.0680462 
k=26 0.000809815 0.00343628 0.0561284 0.00766689 4.811e-06 0.0680462 
k=27 0.000809815 0.00343628 0.0561284 0.00766689 4.829e-06 0.0680462 
k=28 0.000809815 0.00343628 0.0561284 0.00766689 4.758e-06 0.0680461 
k=29 0.000809815 0.00343628 0.0561284 0.00766689 4.845e-06 0.0680462 
k=30 0.000809815 0.00343628 0.0561284 0.00766689 4.778e-06 0.0680461 
k=31 0.000809815 0.00343628 0.0561284 0.00766689 4.85e-06 0.0680462 
k=32 0.000809815 0.00343628 0.0561284 0.00766689 4.758e-06 0.0680461 
k=33 0.000809815 0.00343628 0.0561284 0.00766689 7.2241e-05 0.0681136 
k=34 0.000809815 0.00343628 0.0561284 0.00766689 5.186e-06 0.0680466 
k=35 0.000809815 0.00343628 0.0561284 0.00766689 4.883e-06 0.0680462 
k=36 0.000809815 0.00343628 0.0561284 0.00766689 4.775e-06 0.0680461 
k=37 0.000809815 0.00343628 0.0561284 0.00766689 4.821e-06 0.0680462 
k=38 0.000809815 0.00343628 0.0561284 0.00766689 4.724e-06 0.0680461 
k=39 0.000809815 0.00343628 0.0561284 0.00766689 4.877e-06 0.0680462 
k=40 0.000809815 0.00343628 0.0561284 0.00766689 4.768e-06 0.0680461 
k=41 0.000809815 0.00343628 0.0561284 0.00766689 4.824e-06 0.0680462 
