 dataLoadingTime iforestTime massMatrixTime sortNeighTime aScoreComputationTime TotalTime
k=1 0.000753866 0.00374447 0.0574518 0.00762683 4.7943e-05 0.0696249 
k=2 0.000753866 0.00374447 0.0574518 0.00762683 4.6956e-05 0.0696239 
k=3 0.000753866 0.00374447 0.0574518 0.00762683 5.2182e-05 0.0696291 
k=4 0.000753866 0.00374447 0.0574518 0.00762683 4.944e-06 0.0695819 
k=5 0.000753866 0.00374447 0.0574518 0.00762683 5.244e-05 0.0696294 
k=6 0.000753866 0.00374447 0.0574518 0.00762683 4.911e-06 0.0695819 
k=7 0.000753866 0.00374447 0.0574518 0.00762683 4.84e-06 0.0695818 
k=8 0.000753866 0.00374447 0.0574518 0.00762683 4.753e-06 0.0695817 
k=9 0.000753866 0.00374447 0.0574518 0.00762683 5.5207e-05 0.0696322 
k=10 0.000753866 0.00374447 0.0574518 0.00762683 4.953e-06 0.0695819 
k=11 0.000753866 0.00374447 0.0574518 0.00762683 4.853e-06 0.0695818 
k=12 0.000753866 0.00374447 0.0574518 0.00762683 4.773e-06 0.0695817 
k=13 0.000753866 0.00374447 0.0574518 0.00762683 4.838e-06 0.0695818 
k=14 0.000753866 0.00374447 0.0574518 0.00762683 4.759e-06 0.0695817 
k=15 0.000753866 0.00374447 0.0574518 0.00762683 4.772e-06 0.0695817 
k=16 0.000753866 0.00374447 0.0574518 0.00762683 4.73e-06 0.0695817 
k=17 0.000753866 0.00374447 0.0574518 0.00762683 6.1226e-05 0.0696382 
k=18 0.000753866 0.00374447 0.0574518 0.00762683 4.974e-06 0.0695819 
k=19 0.000753866 0.00374447 0.0574518 0.00762683 4.846e-06 0.0695818 
k=20 0.000753866 0.00374447 0.0574518 0.00762683 4.766e-06 0.0695817 
k=21 0.000753866 0.00374447 0.0574518 0.00762683 4.8e-06 0.0695818 
k=22 0.000753866 0.00374447 0.0574518 0.00762683 4.728e-06 0.0695817 
k=23 0.000753866 0.00374447 0.0574518 0.00762683 4.817e-06 0.0695818 
k=24 0.000753866 0.00374447 0.0574518 0.00762683 4.74e-06 0.0695817 
k=25 0.000753866 0.00374447 0.0574518 0.00762683 4.875e-06 0.0695818 
k=26 0.000753866 0.00374447 0.0574518 0.00762683 4.772e-06 0.0695817 
k=27 0.000753866 0.00374447 0.0574518 0.00762683 4.794e-06 0.0695818 
k=28 0.000753866 0.00374447 0.0574518 0.00762683 4.841e-06 0.0695818 
k=29 0.000753866 0.00374447 0.0574518 0.00762683 4.847e-06 0.0695818 
k=30 0.000753866 0.00374447 0.0574518 0.00762683 4.753e-06 0.0695817 
k=31 0.000753866 0.00374447 0.0574518 0.00762683 4.845e-06 0.0695818 
k=32 0.000753866 0.00374447 0.0574518 0.00762683 4.757e-06 0.0695817 
k=33 0.000753866 0.00374447 0.0574518 0.00762683 7.3529e-05 0.0696505 
k=34 0.000753866 0.00374447 0.0574518 0.00762683 5.115e-06 0.0695821 
k=35 0.000753866 0.00374447 0.0574518 0.00762683 4.878e-06 0.0695818 
k=36 0.000753866 0.00374447 0.0574518 0.00762683 4.748e-06 0.0695817 
k=37 0.000753866 0.00374447 0.0574518 0.00762683 5.045e-06 0.069582 
k=38 0.000753866 0.00374447 0.0574518 0.00762683 4.782e-06 0.0695817 
k=39 0.000753866 0.00374447 0.0574518 0.00762683 4.835e-06 0.0695818 
k=40 0.000753866 0.00374447 0.0574518 0.00762683 4.733e-06 0.0695817 
k=41 0.000753866 0.00374447 0.0574518 0.00762683 4.854e-06 0.0695818 
