        
euclidean run1 run2 run3 run4 run5 average min max
0.697019867549669 0.411784683307862 0.417940227542877 0.426303277296655 0.4235438953982 0.411402615044999 0.418194939718118 0.411402615044999 0.426303277296655
0.687510613007302 0.5661402615045 0.530013584649346 0.533791815248769 0.535659704533877 0.542154865002547 0.541552046187808 0.530013584649346 0.5661402615045
0.679996603837663 0.60697911360163 0.6116488368144 0.584309730005094 0.589955849889625 0.616573272202411 0.601893360502632 0.584309730005094 0.616573272202411
0.696977415520462 0.63312956359314 0.641152997113262 0.611351672609951 0.654780098488708 0.665647817965699 0.641212429954152 0.611351672609951 0.665647817965699
0.698123620309051 0.662930888096451 0.664671421293938 0.635209713024283 0.664374257089489 0.674350483953133 0.660307352691459 0.635209713024283 0.674350483953133
0.704109356427237 0.692944472745797 0.679996603837664 0.643402954661233 0.684963491254882 0.692010528103243 0.678663610120564 0.643402954661233 0.692944472745797
0.703939548310409 0.70236882322975 0.6796145355748 0.660850738665308 0.692604856512141 0.684411614875191 0.683970113771438 0.660850738665308 0.70236882322975
0.703684836135167 0.685345559517745 0.696807607403634 0.661614875191034 0.693114280862625 0.704364068602479 0.688249278315504 0.661614875191034 0.704364068602479
0.700458481915436 0.681991849210392 0.704151808456444 0.660468670402445 0.680378672100527 0.689887926642893 0.68337578536254 0.660468670402445 0.704151808456444
0.704448972660893 0.697486839870946 0.697699100016981 0.66619969434539 0.677874002377314 0.693071828833418 0.68646629308881 0.66619969434539 0.697699100016981
0.702963151638648 0.704364068602479 0.698166072338258 0.67184581422992 0.67863813890304 0.6984207845135 0.690286975717439 0.67184581422992 0.704364068602479
0.703897096281202 0.69926982509764 0.707335710646969 0.673671251485821 0.682755985736118 0.694812362030905 0.691569026999491 0.673671251485821 0.707335710646969
0.703854644251995 0.699651893360503 0.702199015112922 0.679911699779249 0.678850399049075 0.689505858380031 0.690023773136356 0.678850399049075 0.702199015112922
0.705213109186619 0.700585838003057 0.702538631346578 0.68046357615894 0.674350483953133 0.694218033622007 0.690431312616743 0.674350483953133 0.702538631346578
0.705595177449482 0.700840550178299 0.697784004075395 0.668194939718119 0.679020207165903 0.694727457972491 0.688113431822041 0.668194939718119 0.700840550178299
0.703005603667855 0.700585838003057 0.697104771608083 0.662039395483104 0.678256070640177 0.696977415520462 0.686992698250976 0.662039395483104 0.700585838003057
0.702581083375785 0.697189675666497 0.701732042791645 0.668025131601291 0.671166581762608 0.691331295635931 0.685888945491594 0.668025131601291 0.701732042791645
0.703260315843097 0.698378332484293 0.703302767872304 0.662633723892002 0.664841229410766 0.696850059432841 0.685201222618441 0.662633723892002 0.703302767872304
0.706656478179657 0.693666157242316 0.704194260485651 0.658685685175751 0.658685685175751 0.69926982509764 0.682900322635422 0.658685685175751 0.704194260485651
